name,mem,net,cpu,speed1_out,speed8_out,speed32_out,speed1_in,speed8_in,speed32_in,speed256
FT-B,695406.6666666666,2696243028.5,0.21489158921344856,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0
FT-C,616081.3333333334,21769547374.0,0.12778569882852084,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
IS-A,360910.6666666667,144385436.3333333,0.6012803269932867,1.0,3.9651322134678013,10.218626789340925,1.0,5.660371072343575,15.691659046596127,4.6126025074230865
IS-B,1351956.6666666667,2292356568.166667,0.48826934548928846,-1.0,1.0,3.5755666403347215,-1.0,1.0,3.0451592666324725,1.0
IS-C,373349.3333333333,10892883310.5,0.3241284000923554,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
MG-A,788495.3333333334,39085950.333333336,0.30308539889072644,1.0,7.161492645947411,18.94466215244266,1.0,4.884108499810308,8.587254682323803,7.089447209195719
MG-B,1499825.3333333333,155669423.0,0.130255434697938,-1.0,1.0,3.564118810661645,-1.0,1.0,1.8582188852254777,1.0
MG-C,152514.66666666666,228845387.5,0.09696154209321264,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
CG-A,260078.0,75907457.0,0.07755717061099333,1.0,12.200798570757824,27.885632702510712,1.0,9.476387601913027,25.121741518054048,5.5454433480243726
CG-B,1187410.6666666667,757711862.0,0.05840258753931334,-1.0,1.0,3.6058007008488735,-1.0,1.0,3.048883239349487,1.0
CG-C,221690.0,2354313785.166667,0.06003670220089337,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
LU-A,173096.66666666666,9564145.833333332,0.025075365891355575,1.0,6.986390295530235,21.794477522578447,1.0,4.580200737855771,13.180837063450468,21.338703826319048
LU-B,724040.8,36270666.4,0.021085398069501254,-1.0,1.0,3.6789593405057803,-1.0,1.0,3.1674829790274712,-1
LU-C,125524.66666666667,170609866.33333334,0.014838598962220298,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
SP-A,373790.0,44712017.83333333,0.016700123213248864,1.0,3.48917448669377,20.330043406863172,1.0,2.4452598292989456,10.346678212549076,16.071023009987154
SP-B,1196754.6666666667,220918513.3333333,0.013290887144722166,-1.0,-1.0,1.0,-1.0,1.0,4.4267901878001785,1.0
SP-C,235120.0,1089479618.1666665,0.009699774703593409,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
