date,app_name,input,cluster,total_time,ru_stime,rs_stime,maxrss,ixrss,idrss,minflt,majflt,nswap,inblock,oublock,msgsnd,msgrcv,nsignals,nvcsw,nivcsw,rxBytes,txBytes,rxPackets,txPackets,pi_5,pi_10,pi_15,total_pi
06-27-21-21:45:2,examl,B,c2-standard-4-8,802.338100,0.509502,0.465022,20472,0,0,2937,0,0,0,8,0,0,0,2276,650,5219285,5209336,53810,54451,0.931733,1.549956,2.100047,3387
06-28-21-00:23:5,examl,B,c2-standard-8-8,998.331104,0.623319,0.659512,19348,0,0,2591,0,0,0,8,0,0,0,2429,985,10242999,10337129,104682,107658,1.244007,2.013172,2.679325,3387
06-28-21-00:23:5,examl,A,c2-standard-8-8,148.899932,0.235307,0.243150,16616,0,0,1922,0,0,0,8,0,0,0,2289,1021,3964640,3964672,40133,41504,0.431807,0.615901,0.885039,1452
06-28-21-10:34:2,examl,A,c2-standard-30-8,179.731608,0.209361,0.376074,16656,0,0,2007,14,0,1560,8,0,0,0,2804,2994,8196034,7723544,81322,79332,0.515106,0.730347,1.065277,1452
06-28-21-10:34:2,examl,B,c2-standard-30-8,1173.152893,0.473837,1.023971,17972,0,0,2392,0,0,0,8,0,0,0,2763,3081,20977149,20365130,212555,208528,1.468983,2.346441,3.100796,3387
06-28-21-07:24:2,examl,A,c2-standard-16-8,157.958832,0.199752,0.305503,16512,0,0,1945,0,0,0,8,0,0,0,2504,211,8134645,7840346,83502,81751,0.458291,0.643630,0.937813,1452
06-28-21-07:24:2,examl,B,c2-standard-16-8,1029.774729,0.642557,0.650589,18392,0,0,2430,0,0,0,8,0,0,0,2520,1942,21134749,20736662,219419,216129,1.258875,2.035920,2.719192,3387
06-27-21-22:36:5,examl,A,c2-standard-4-32,192.025854,0.209441,0.354439,16304,0,0,1912,0,0,0,8,0,0,0,2318,1843,3491819,3250472,34123,33859,0.519097,0.753769,1.096637,1452
06-27-21-22:36:5,examl,B,c2-standard-4-32,1228.048031,0.626081,0.975242,18304,0,0,2401,0,0,0,8,0,0,0,2353,498,8847614,8600322,89603,89508,1.554675,2.507938,3.328035,3387
06-28-21-05:40:0,examl,B,c2-standard-8-32,1495.004509,0.717426,1.054095,17988,0,0,2332,0,0,0,8,0,0,0,2405,3682,17437796,17143578,176019,178141,1.753320,2.844309,3.792960,3387
06-28-21-05:40:0,examl,A,c2-standard-8-32,222.461587,0.259368,0.409316,16280,0,0,1957,15,0,856,8,0,0,0,2575,3301,6912241,6462454,67426,67140,0.623388,0.890532,1.313101,1452
06-27-21-23:50:1,examl,B,c2-standard-8-4,749.225167,0.472527,0.452505,20816,0,0,2945,0,0,0,8,0,0,0,2289,682,6651743,6843030,67511,71042,0.894209,1.480778,2.007648,3387
06-27-21-23:50:1,examl,A,c2-standard-8-4,93.628621,0.129070,0.173437,18320,0,0,1932,0,0,0,8,0,0,0,2285,265,2563208,2639472,25908,27680,0.254701,0.366285,0.548813,1452
06-28-21-16:51:4,examl,A,c2-standard-60-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-28-21-16:51:4,examl,B,c2-standard-60-4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06-27-21-21:28:0,examl,B,c2-standard-4-4,720.644846,0.553800,0.280855,23272,0,0,3633,0,0,0,8,0,0,0,2281,405,3414395,3409268,35078,35334,0.793450,1.378783,1.923188,3387
06-27-21-21:28:0,examl,A,c2-standard-4-4,65.921567,0.083893,0.143817,16824,0,0,1941,0,0,0,8,0,0,0,2273,373,1296767,1315904,13187,13780,0.193033,0.274344,0.410908,1452
06-28-21-09:11:1,examl,B,c2-standard-30-4,794.758092,0.402538,0.625727,21032,0,0,2483,0,0,0,8,0,0,0,2700,1624,13653856,13899794,135239,141242,0.970059,1.572254,2.105791,3387
06-28-21-09:11:1,examl,A,c2-standard-30-4,130.231348,0.133676,0.287606,16612,0,0,1984,0,0,0,8,0,0,0,2643,1577,5349437,5308976,52683,54291,0.383024,0.537882,0.781508,1452
06-28-21-07:00:3,examl,B,c2-standard-16-4,718.615491,0.488824,0.428226,19184,0,0,2612,0,0,0,8,0,0,0,2527,1074,14237763,13747806,149214,143023,0.878045,1.438788,1.928968,3387
